Date,Open,High,Low,Close,Volume,Log_Return
2007-09-17 00:00:00+05:30,4518.4501953125,4855.7001953125,4481.5498046875,4837.5498046875,0,
2007-09-24 00:00:00+05:30,4837.14990234375,5055.7998046875,4837.14990234375,5021.35009765625,0,0.03729048745543669
2007-10-01 00:00:00+05:30,5021.5,5261.35009765625,5001.35009765625,5185.85009765625,0,0.032234940202257346
2007-10-08 00:00:00+05:30,5186.25,5549.2998046875,5000.9501953125,5428.25,0,0.04568301688851302
2007-10-15 00:00:00+05:30,5428.35009765625,5736.7998046875,5101.75,5215.2998046875,0,-0.04002022267724293
2007-10-22 00:00:00+05:30,5202.75,5716.89990234375,5070.89990234375,5702.2998046875,0,0.08927299225863075
2007-10-29 00:00:00+05:30,5708.89990234375,6011.9501953125,5708.89990234375,5932.39990234375,0,0.03955926845103022
2007-11-05 00:00:00+05:30,5931.89990234375,5957.2001953125,5614.89990234375,5663.25,0,-0.046430904054654734
2007-11-12 00:00:00+05:30,5660.60009765625,5966.9501953125,5477.5,5906.85009765625,0,0.042114778565066895
2007-11-19 00:00:00+05:30,5908.0498046875,5981.7998046875,5394.35009765625,5608.60009765625,0,-0.05181155949916736
2007-11-26 00:00:00+05:30,5611.2998046875,5782.5498046875,5595.5,5762.75,0,0.027113639894242675
2007-12-03 00:00:00+05:30,5765.4501953125,6042.10009765625,5754.60009765625,5974.2998046875,0,0.03605211212093282
2007-12-10 00:00:00+05:30,5974.0,6185.39990234375,5923.35009765625,6047.7001953125,0,0.01221116331710258
2007-12-17 00:00:00+05:30,6037.9501953125,6039.9501953125,5676.7001953125,5766.5,0,-0.047612756083829026
2007-12-24 00:00:00+05:30,5771.2998046875,6110.85009765625,5771.2998046875,6079.7001953125,0,0.052890074096945565
2007-12-31 00:00:00+05:30,6095.0,6300.0498046875,6060.85009765625,6274.2998046875,0,0.0315065091006279
2008-01-07 00:00:00+05:30,6271.0,6357.10009765625,6112.5498046875,6200.10009765625,0,-0.011896457177443327
2008-01-14 00:00:00+05:30,6208.7998046875,6260.4501953125,5677.0,5705.2998046875,0,-0.0831699035546756
2008-01-21 00:00:00+05:30,5705.0,5705.0,4448.5,5383.35009765625,0,-0.05808465803789165
2008-01-28 00:00:00+05:30,5380.9501953125,5391.60009765625,5071.0,5317.25,0,-0.012354622698901705
2008-02-04 00:00:00+05:30,5315.5498046875,5545.2001953125,5034.25,5120.35009765625,0,-0.03773343725031412
2008-02-11 00:00:00+05:30,5120.5498046875,5315.39990234375,4803.60009765625,5302.89990234375,0,0.0350310071487455
2008-02-18 00:00:00+05:30,5304.4501953125,5368.4501953125,5092.7998046875,5110.75,0,-0.03690765782796849
2008-02-25 00:00:00+05:30,5112.25,5368.14990234375,5055.14990234375,5223.5,0,0.021821510812445332
2008-03-03 00:00:00+05:30,5222.7998046875,5222.7998046875,4672.25,4771.60009765625,0,-0.0904859764036287
2008-03-10 00:00:00+05:30,4767.7998046875,5019.2001953125,4580.14990234375,4745.7998046875,0,-0.005421723671088279
2008-03-17 00:00:00+05:30,4745.4501953125,4745.4501953125,4468.5498046875,4573.9501953125,0,-0.03688276832992581
2008-03-24 00:00:00+05:30,4576.7998046875,4970.7998046875,4539.7998046875,4942.0,0,0.07739290067563537
2008-03-31 00:00:00+05:30,4942.14990234375,4947.0,4628.75,4647.0,0,-0.061548257463577095
2008-04-07 00:00:00+05:30,4631.35009765625,4817.39990234375,4628.7998046875,4777.7998046875,0,0.027758298527304586
2008-04-14 00:00:00+05:30,4779.9501953125,4984.9501953125,4708.2998046875,4958.39990234375,0,0.03710293972608725
2008-04-21 00:00:00+05:30,4955.89990234375,5117.7001953125,4955.89990234375,5111.7001953125,0,0.030448979759844993
